,Actual_DT,Actual_ET,LI_8100_Vent,Multiplexer_CO2_1,Multiplexer_CO2_2,Multiplexer_CO2_3,Picarro_ANEM,Picarro_CO2,Vent_Anem_Temp
0,2019-08-15 09:55:00,1565884500.0,,,,,,1565884593.5,
1,2019-08-15 09:56:00,1565884560.0,,,,,,1565884653.4,
2,2019-08-15 09:57:00,1565884620.0,,,,,,1565884713.5,
3,2019-08-15 16:55:00,1565909700.0,,,,,,1565909793.2,
4,2019-08-15 16:56:00,1565909760.0,,,,,,1565909853.5,
5,2019-08-15 16:57:00,1565909820.0,,,,,,1565909913.3,
6,2019-08-16 09:39:00,1565969940.0,,,,,,1565970034.2,
7,2019-08-16 09:40:00,1565970000.0,,,,,,1565970094.0,
8,2019-08-16 09:41:00,1565970060.0,,,,,,1565970154.0,
9,2019-08-16 17:17:00,1565997420.0,,,,,,1565997514.1,
10,2019-08-16 17:18:00,1565997480.0,,,,,,1565997574.4,
11,2019-08-16 17:19:00,1565997540.0,,,,,,1565997634.4,
12,2019-08-19 08:27:00,1566224820.0,,,,,,1566224916.7,
13,2019-08-19 08:28:00,1566224880.0,,,,,,1566224976.6,
14,2019-08-19 08:29:00,1566224940.0,,,,,,1566225036.6,
15,2019-08-19 19:16:00,1566263760.0,,,,,,1566263856.6,
16,2019-08-19 19:17:00,1566263820.0,,,,,,1566263916.8,
17,2019-08-19 19:18:00,1566263880.0,,,,,,1566263976.7,
18,2019-08-20 08:42:00,1566312120.0,,,,,,1566312217.2,
19,2019-08-20 08:43:00,1566312180.0,,,,,,1566312277.2,
20,2019-08-20 22:00:00,1566360000.0,,,,,,1566360097.6,
21,2019-08-20 22:01:00,1566360060.0,,,,,,1566360157.6,
22,2019-08-20 22:02:00,1566360120.0,,,,,,1566360217.6,
23,2019-08-21 08:47:00,1566398820.0,,,,,,1566398917.9,
24,2019-08-21 08:48:00,1566398880.0,,,,,,1566398978.0,
25,2019-08-21 08:49:00,1566398940.0,,,,,,1566399038.1,
26,2019-08-21 18:30:00,1566433800.0,,,,,,1566433898.1,
27,2019-08-21 18:31:00,1566433860.0,,,,,,1566433958.3,
28,2019-08-21 18:32:00,1566433920.0,,,,,,1566434018.3,
29,2019-08-15 09:38:00,1565883480.0,,1565883605,1565883605,1565883605,,,
30,2019-08-15 09:39:00,1565883540.0,,1565883664,1565883665,1565883665,,,
31,2019-08-15 09:40:00,1565883600.0,,1565883724,1565883724,1565883724,,,
32,2019-08-15 16:45:00,1565909100.0,,1565909227,1565909226,1565909227,,,
33,2019-08-15 16:46:00,1565909160.0,,1565909287,1565909287,1565909287,,,
34,2019-08-15 16:47:00,1565909220.0,,1565909347,1565909347,1565909347,,,
35,2019-08-16 09:21:00,1565968860.0,,1565968991,1565968991,1565968991,,,
36,2019-08-16 09:23:00,1565968980.0,,1565969111,1565969111,1565969111,,,
37,2019-08-16 17:10:00,1565997000.0,,1565997135,1565997135,1565997135,,,
38,2019-08-16 17:11:00,1565997060.0,,1565997195,1565997194,1565997195,,,
39,2019-08-16 17:12:00,1565997120.0,,1565997254,1565997254,1565997254,,,
40,2019-08-19 08:52:00,1566226320.0,,1566226475,1566226475,1566226476,,,
41,2019-08-19 08:53:00,1566226380.0,,1566226536,1566226536,1566226536,,,
42,2019-08-19 08:54:00,1566226440.0,,1566226595,1566226595,1566226595,,,
43,2019-08-19 19:08:00,1566263280.0,,1566263437,1566263436,1566263437,,,
44,2019-08-19 19:09:00,1566263340.0,,1566263497,1566263497,1566263497,,,
45,2019-08-19 19:10:00,1566263400.0,,1566263557,1566263557,1566263557,,,
46,2019-08-20 08:26:00,1566311160.0,,1566311322,1566311322,1566311322,,,
47,2019-08-20 08:27:00,1566311220.0,,1566311382,1566311383,1566311383,,,
48,2019-08-20 08:28:00,1566311280.0,,1566311442,1566311443,1566311442,,,
49,2019-08-20 21:52:00,1566359520.0,,1566359687,1566359687,1566359687,,,
50,2019-08-20 21:53:00,1566359580.0,,1566359747,1566359747,1566359747,,,
51,2019-08-20 21:54:00,1566359640.0,,1566359806,1566359806,1566359806,,,
52,2019-08-21 08:28:00,1566397680.0,,1566397849,1566397848,1566397851,,,
53,2019-08-21 08:29:00,1566397740.0,,1566397909,1566397909,1566397909,,,
54,2019-08-21 08:30:00,1566397800.0,,1566397970,1566397969,1566397970,,,
55,2019-08-21 18:11:00,1566432660.0,,1566432831,1566432831,1566432831,,,
56,2019-08-21 18:12:00,1566432720.0,,1566432891,1566432891,1566432891,,,
57,2019-08-21 18:13:00,1566432780.0,,1566432951,1566432951,1566432951,,,
58,2019-08-15 09:22:00,1565882520.0,1565882807,,,,,,
59,2019-08-15 09:23:00,1565882580.0,1565882867,,,,,,
60,2019-08-15 09:24:00,1565882640.0,1565882926,,,,,,
61,2019-08-15 16:35:00,1565908500.0,1565908786,,,,,,
62,2019-08-15 16:36:00,1565908560.0,1565908846,,,,,,
63,2019-08-15 16:37:00,1565908620.0,1565908906,,,,,,
64,2019-08-16 09:04:00,1565967840.0,1565968134,,,,,,
65,2019-08-16 09:05:00,1565967900.0,1565968194,,,,,,
66,2019-08-16 09:06:00,1565967960.0,1565968254,,,,,,
67,2019-08-16 17:00:00,1565996400.0,1565996693,,,,,,
68,2019-08-16 17:01:00,1565996460.0,1565996753,,,,,,
69,2019-08-16 17:02:00,1565996520.0,1565996813,,,,,,
70,2019-08-19 08:37:00,1566225420.0,1566225737,,,,,,
71,2019-08-19 08:38:00,1566225480.0,1566225797,,,,,,
72,2019-08-19 08:39:00,1566225540.0,1566225857,,,,,,
73,2019-08-19 19:00:00,1566262800.0,1566263116,,,,,,
74,2019-08-19 19:01:00,1566262860.0,1566263177,,,,,,
75,2019-08-19 19:02:00,1566262920.0,1566263236,,,,,,
76,2019-08-20 08:33:00,1566311580.0,1566311905,,,,,,
77,2019-08-20 08:34:00,1566311640.0,1566311965,,,,,,
78,2019-08-20 08:35:00,1566311700.0,1566312024,,,,,,
79,2019-08-20 21:44:00,1566359040.0,1566359363,,,,,,
80,2019-08-20 21:45:00,1566359100.0,1566359424,,,,,,
81,2019-08-20 21:46:00,1566359160.0,1566359483,,,,,,
82,2019-08-21 08:40:00,1566398400.0,1566398733,,,,,,
83,2019-08-21 08:41:00,1566398460.0,1566398793,,,,,,
84,2019-08-21 08:42:00,1566398520.0,1566398853,,,,,,
85,2019-08-21 18:18:00,1566433080.0,1566433412,,,,,,
86,2019-08-21 18:19:00,1566433140.0,1566433472,,,,,,
87,2019-08-21 18:20:00,1566433200.0,1566433532,,,,,,
88,2019-08-29 08:21:00,1567088460.0,,,,,,1567088564.6,
